source_id,source_name,source_type,used_in_current_pipeline,current_or_future,local_raw_path,source_url,access_date,license_or_terms_notes,citation_key,notes
isded,"India State and District Evolution Database, 1872-2025",candidate_lineage,false,future,data/raw/district_changes/india_state_stories/isded,https://doi.org/10.7910/DVN/D1AGUR,2026-07-22,Use Harvard Dataverse terms and citation.,,Census-anchor and current administrative evidence; does not alone identify exact effective dates or territorial shares.
iss_census_collection,"Indian Census Data Collection, 1901-2026",validation_tables,false,future,data/raw/district_changes/india_state_stories/census_data_collection,https://doi.org/10.7910/DVN/ON8CP8,2026-07-22,Use Harvard Dataverse terms and citation.,,Historical population validation and current subdistrict/Census-link evidence.
jaacks_tracker,Jaacks Research Group India district changes tracker,candidate_lineage,true,both,data/raw/district_changes/IndiaDistrictTracker2001to2020.ods,https://github.com/Jaacks-Research-Group/india-district-changes-tracker,,Use repository terms; preserve original workbook.,,Annual candidate names and lineage paths; legacy work identified omissions and errors.
kumar_somanathan_2016,"Kumar and Somanathan district concordance, 1961-2001",literature_derived_crosswalk,true,both,data/raw/district_changes/District Carve-Outs and Renamings 1961-2001.csv,https://www.cdedse.org/pdf/work248.pdf,,Local CSV was extracted from the paper with Tabula; verify against the publication.,kumarCreatingLongPanels2016,"Methodological benchmark for clean partitions, non-nested transfers, and population shares; CSV is headerless."
lgd_current,"Local Government Directory current states, districts, subdistricts, villages, ULBs, and coverage",administrative_registry,false,future,data/raw/local_government_directory,https://www.data.gov.in/catalog/local-government-directory-lgd,2026-07-22,Government Open Data License - India/NDSAP applies to data.gov.in resources; preserve acquisition metadata.,,JSON was preferred for state/district/subdistrict files to ensure UTF-8 local names. Current hierarchy is not historical geography.
lgd_modifications_2011_2018,"LGD modification rosters, 2011-01-01 through 2018-06-30",changed_unit_roster,false,future,data/raw/local_government_directory/modifications_01-01-2011_30-06-2018,https://lgdirectory.gov.in/downloadDirectory.do,2026-07-22,Government-source downloads; preserve files unchanged.,,"SpreadsheetML XML files with .xls extension. They identify modified entities, not complete events, predecessors, dates, or shares."
lgd_changes_post_2018,ramSeraph LGD change archive from 2018-10-13 onward,post_period_validation,false,future,data/raw/local_government_directory/changes.csv,https://ramseraph.github.io/opendata/lgd/,2026-07-22,Third-party archive of public LGD extracts; retain provenance.,,Postdates NSS 2017-18; use only to validate later code/history and event-processing logic.
shrug_pc_keys,"SHRUG Population Census keys, 1991/2001/2011",stable_locality_keys,true,current,data/raw/shrug/shrug-pc-keys-csv,https://www.devdatalab.org/shrug_download/,2026-07-22,Use Development Data Lab SHRUG citation and terms.,,Principal rural/urban SHRID bridge between Census locality and district identifiers; keys are not necessarily unique on shrid2.
shrug_census_1991,"SHRUG Census 1991 PCA, Village Directory, and Town Directory",historical_baseline_attributes,true,current,data/raw/shrug/census_1991,https://www.devdatalab.org/shrug_download/,2026-08-27,Use Development Data Lab SHRUG citation and terms.,,PCA population anchors the 1991 geography audit; district PCA/VD/TD are planned predetermined baseline and pretrend controls.
census_1991_language_atlas,Language Atlas of India 1991,historical_language_distribution,false,future,data/raw/census_1961-91/Language_Atlas_of_India_1991.pdf,https://ruralindiaonline.org/en/library/resource/language-atlas-of-india-1991/,2026-08-27,Government of India publication mirrored by the People's Archive of Rural India.,,"Annexure IV begins at printed p. 192 (PDF p. 205) and reports district total population plus scheduled and non-scheduled language speaker counts; scripts/build_language_atlas_1991.py emits positioned cells plus district-code/PCA91 validation candidates; no Atlas speaker count enters targets until the remaining identity/population review queue is resolved and row alignment across all eight pages is validated."
vanneman_1961_91,"Vanneman-Barnes Indian District Database, 1961-1991",historical_district_panel,true,current,data/raw/census_1961-91/vanneman_1961-91,http://vanneman.umd.edu/districts/files/index.html,2026-08-28,Preserve the downloaded website snapshot and codebook locally; citation/provenance follow the Vanneman-Barnes database documentation.,,"Current use is source-contract QA only. The codebook documents panel version 6, but downloaded panel4 is version 5; dist81 also contains version-3 education records. Do not use harmonized panel values until vintage provenance is resolved."
shrug_census_2001,"SHRUG Census 2001 PCA, Village Directory, and Town Directory",census_locality_attributes,false,future,data/raw/shrug/census_2001,https://www.devdatalab.org/shrug_download/,2026-07-22,Use Development Data Lab SHRUG citation and terms.,,"Population, households, area, and locality attributes for transition weights and validation."
shrug_census_2011,"SHRUG Census 2011 PCA, Village Directory, and Town Directory",census_locality_attributes,false,future,data/raw/shrug/census_2011,https://www.devdatalab.org/shrug_download/,2026-07-22,Use Development Data Lab SHRUG citation and terms.,,"Population, households, area, and locality attributes for transition weights and validation."
shrug_open_polygons,SHRUG PC11 and SHRID open polygons,geospatial,false,future,data/raw/shrug/open-polygons,https://docs.devdatalab.org/SHRUG-Metadata/Open%20Polygons%20and%20Spatial%20Statistics/Tables/open-poly-metadata,2026-07-22,Use SHRUG citation and heed documented geometry-quality limitations.,,PC11 state/district/subdistrict geometry plus local-only village and SHRID archives; planned starting point for dissolved 2001 district geometry.
shrug_economic_census,SHRUG Economic Census keys and 2005 Economic Census,controls_validation,false,future,data/raw/shrug,https://www.devdatalab.org/shrug_download/,2026-07-22,Use Development Data Lab SHRUG citation and terms.,,Possible pre-treatment nonfarm controls and crosswalk validation; not lineage authority.
published_concordance,Deshpande-Khanna-Walia Census/PLFS/NSS/NRLM concordance,published_concordance,false,future,data/raw/concordance,https://ora.ox.ac.uk/objects/uuid:08225ba2-af57-4ba8-8c03-3a027b68b354,2026-07-22,Use paper and archive citation/terms.,,"Independent candidate evidence, especially Telangana 31-to-10 mapping; includes unmatched rows and no legal dates/shares."
ipums_geo2,"IPUMS harmonized India second-level geography, 1987-2009",sensitivity_geography,false,future,data/raw/ipums/geo2_in1987_2009,https://international.ipums.org/international-action/variables/GEO2_IN,2026-07-22,Use IPUMS terms and citation.,,Stable combined geography for sensitivity analysis; not the Census 2001 district target.
administrative_atlas,Census of India 2011 Administrative Atlases,official_event_evidence,false,future,data/raw_future/Administrative Atlas,https://censusindia.gov.in/census.website/data/atlas,,Follow Census of India terms; download only targeted volumes/pages as needed.,,"Targeted evidence for 2001-2011 parentage, notifications, and exact dates. Haryana volume is the worked example."
ilo_figures,ILO figures,image_assets,true,current,assets/ilo_figures,,,Static tracked images; underlying ILO citation governs use.,ilo_2024,Static figures used in the paper collage.
lgd_modifications_2001_2011,"LGD district modification roster, 2001-01-01 through 2011-01-01",official_code_bridge,false,future,data/raw/local_government_directory/modifications_01-01-2001_01-01-2011,https://lgdirectory.gov.in/downloadDirectory.do,2026-07-24,Government-source download; preserve file unchanged.,,District rows carry Census-2001 and Census-2011 codes. Nonblank paired codes are authoritative deterministic code links; blank Census-2001 codes identify post-2001 creations requiring separate lineage evidence.
prices,RBI and Labour Bureau consumer price series,price_index,false,future,data/raw/prices,https://data.rbi.org.in/DBIE/,,Official statistical releases; retain downloaded source files.,,"CPI-RL, CPI-IW, and state CPI Rural/Urban for household price adjustment."
census_2001_controls,Census of India 2001 control tables,census,false,future,data/raw/census_2001,https://censusindia.gov.in/,,Official Census tables; retain downloaded source files.,,"Predetermined district controls from C-01, C-08, C-14, H-09, H-13, and SHRUG PCA/directories."
ethnologue_newick_proxy,Dediu lgfam-newick Ethnologue Newick export,language_classification_proxy,true,current,data/raw/ethnologue/ethnologue-newick-proportional=1.00.csv,https://github.com/ddediu/lgfam-newick/blob/master/output/ethnologue/ethnologue-newick-proportional%3D1.00.csv,2026-08-20,Repository code is GPL-2.0; upstream classification inputs may have separate terms. Preserve downloaded output locally.,dediuLanguageFamilyTreesNewick,Later Ethnologue-derived machine-readable proxy. It is not asserted to reproduce the exact Ethnologue vintage used in Shastry 2008 Figure 6.
dyen_1997,Dyen-Kruskal-Black Comparative Indo-European Database,lexicostatistical_cognacy,true,current,data/raw/cognates/dyen_kruskal_black_1997.txt,https://web.archive.org/web/20030814192224/http://www.wordgumbo.com/ie/cmp/iedata.txt,2026-08-20,Historical research dataset; preserve archived source and attribution locally.,dyenComparativeIndoeuropeanDatabase1997,"Parser excludes doubtful cognations from the denominator, reproducing Shastry's reported one-decimal Hindi cognate percentages."
kogan_2017,Kogan 2017 New Indo-Aryan lexicostatistics,lexicostatistical_wordlists,true,current,data/raw/cognates/koganGenealogicalClassificationNew2017.pdf,https://doi.org/10.31826/jlr-2017-143-411,2026-08-20,Article is CC BY-NC-ND 4.0 on the publisher site; preserve local PDF unchanged.,koganGenealogicalClassificationNew2017,"Appendix contains 100-item Swadesh lists for 35 New Indo-Aryan varieties. Used as review/tie-break evidence, not silently merged with Dyen percentages."
asjp_v21,ASJP Database version 21,phonetic_lexical_wordlists,true,current,data/raw/cognates/asjp-v21.zip,https://doi.org/10.5281/zenodo.16736409,2026-08-21,CC BY 4.0.,wichmannASJPDatabaseVersion2025,Untouched Zenodo archive retained in data/raw/cognates as the raw artifact. The reader opens the unique raw/lists.txt member directly; LDND evidence is review-only.
dise_district_report_cards,"DISE/UDISE District Report Cards and raw district data, NIEPA/NUEPA",administrative_school_census,false,future,data/raw/dise_internet_archive,https://educationforallinindia.com/all-dise-udise-publications-2005-06-to-2017-18/,2026-08-21,Historical archival copies retained locally for reproducible research; redistribution rights are not asserted.,,"Annual district report-card raw data. Baseline 2005-06 to 2007-08 medium identities are decoded from the corresponding published district report cards; 2009-10 provisional combined report is validation/fallback evidence, not preferred over final Volume I where they overlap."
nss_2004_05_consumption,"NSS 2004-05 Household Consumer Expenditure, 61st Round",microdata,true,current,data/raw/hces/2004-05,https://microdata.gov.in/NADA/index.php/catalog/108,,Raw redistribution rights are not asserted; keep local.,,Detailed Schedule 1.0 baseline welfare source; official MPCE-365/MRP field is canonicalized from the distributed CSV archive.
nss_2009_10_consumption_type1,"NSS 2009-10 Household Consumer Expenditure Type 1, 66th Round",microdata,true,current,data/raw/hces/2009-10/type1,https://microdata.gov.in/NADA/index.php/catalog/122,,Raw redistribution rights are not asserted; keep local.,,Type-1 MRP MPCE retained as same-round reference-period design sensitivity.
nss_2009_10_consumption_type2,"NSS 2009-10 Household Consumer Expenditure Type 2, 66th Round",microdata,true,current,data/raw/hces/2009-10/type2,https://microdata.gov.in/NADA/index.php/catalog/123,,Raw redistribution rights are not asserted; keep local.,,Type-2 MPCE is the planned early post-treatment detailed-consumption outcome.
nss_2011_12_consumption_type2,"NSS 2011-12 Household Consumer Expenditure Type 2, 68th Round",microdata,true,current,data/raw/hces/2011-12,https://microdata.gov.in/NADA/index.php/catalog/126,,Raw redistribution rights are not asserted; keep local.,,Type-2 MPCE is the planned medium-run detailed-consumption outcome; distributed MPCE integer is scaled by 0.01 per metadata.
hces_2022_23_consumption,Household Consumption Expenditure Survey 2022-23,microdata,true,current,data/raw/hces/2022-23,https://microdata.gov.in/NADA/index.php/catalog/224,,Raw redistribution rights are not asserted; keep local.,,Modern three-visit long-run consumption endpoint; official Appendix I supplies the source district codebook.
hces_2023_24_consumption,Household Consumption Expenditure Survey 2023-24,microdata,true,current,data/raw/hces/2023-24,https://microdata.gov.in/NADA/index.php/catalog/237,,Raw redistribution rights are not asserted; keep local.,,Second modern three-visit long-run endpoint; observed state/district codes are validated against the 2022-23 Appendix I codebook.
census_2001_bilingualism,Census of India 2001 C-17 bilingualism and trilingualism,census_tables,false,future,data/raw/census_2001/languages/C17,https://censusindia.gov.in/,,Official Census tables; retain downloaded source files.,,State/UT acquisition set for bilingualism and trilingualism validation; not a production dependency until a reader and target are registered.
census_2011_mechanism_tables,"Census of India 2011 economic, language, migration, housing, and household tables",census_tables,false,future,data/raw/census_2011,https://censusindia.gov.in/,,Official Census tables; retain downloaded source files.,,"State/UT acquisition set covering B-01/B-04/B-06/B-25A/B-25B, C-16/C-17, D-02 through D-07, HL-04/06-13, and HH-08/10/11; acquisition-only until table-specific readers are registered."
