"specification_id","sequence","adjustment_id","adjustment","construction_id","construction","fixed_effect","excluded_instruments","included_language_controls","n_excluded_instruments","joint_excluded_f","joint_excluded_p","partial_r_squared","n","n_states","n_regions"
"region_expanded__nonzero_mean_hindi_urdu_separate",21,"region_expanded","Six-region FE + expanded controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","region","ling_distance_nonzero_mean","hindi_share;urdu_share",1,5.72043156790043,0.0171029001287511,0.0707041218579781,573,35,6
"region_expanded__distance_shares_all",22,"region_expanded","Six-region FE + expanded controls","distance_shares_all","Five distance shares; all-speaker denominator","region","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,12.439520068245,1.88352427935983e-11,0.193004236049844,573,35,6
"region_expanded__distance_shares_all_unmapped",23,"region_expanded","Six-region FE + expanded controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","region","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,21.40358783644,1.38143207788001e-19,0.241165672169042,573,35,6
"region_expanded__distance_shares_mapped",24,"region_expanded","Six-region FE + expanded controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","region","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,19.1679127439775,1.33928443391105e-17,0.246466942332603,573,35,6
"state_main__nonzero_mean",25,"state_main","State FE + main controls","nonzero_mean","Mean distance among speakers above zero","state","ling_distance_nonzero_mean","",1,0.755152511131623,0.385245384600696,0.0014829265679364,573,35,6
"state_main__distant_share",26,"state_main","State FE + main controls","distant_share","Share speaking languages at distance three or higher","state","ling_share_distance_ge3","",1,0.505492927367775,0.477411013361414,0.00377648703092641,573,35,6
"state_main__top3_legacy",27,"state_main","State FE + main controls","top3_legacy","Legacy top-three weighted mean","state","ling_distance_top3_legacy","",1,1.72737412775714,0.189318332521999,0.0130748627112446,573,35,6
"state_main__nonzero_mean_hindi_urdu",28,"state_main","State FE + main controls","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","state","ling_distance_nonzero_mean","hindi_urdu_share",1,0.689622117476023,0.40666969881861,0.00183183469925608,573,35,6
"state_main__nonzero_mean_hindi_urdu_separate",29,"state_main","State FE + main controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","state","ling_distance_nonzero_mean","hindi_share;urdu_share",1,0.603918927146656,0.437436684366554,0.0015121807171175,573,35,6
"state_main__distance_shares_all",30,"state_main","State FE + main controls","distance_shares_all","Five distance shares; all-speaker denominator","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,4.37757518164572,0.000650496456410707,0.0357588595049441,573,35,6
"state_main__distance_shares_all_unmapped",31,"state_main","State FE + main controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,4.3138925206192,0.000743749205997258,0.0365485739644512,573,35,6
"state_main__distance_shares_mapped",32,"state_main","State FE + main controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","state","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,4.3551877190224,0.000681806450782219,0.0504025453175743,573,35,6
"state_expanded__nonzero_mean",33,"state_expanded","State FE + expanded controls","nonzero_mean","Mean distance among speakers above zero","state","ling_distance_nonzero_mean","",1,1.34920903929156,0.245945264634422,0.00226416178572703,573,35,6
"state_expanded__distant_share",34,"state_expanded","State FE + expanded controls","distant_share","Share speaking languages at distance three or higher","state","ling_share_distance_ge3","",1,0.496608653365201,0.481307142503715,0.00351361858509008,573,35,6
"state_expanded__top3_legacy",35,"state_expanded","State FE + expanded controls","top3_legacy","Legacy top-three weighted mean","state","ling_distance_top3_legacy","",1,1.59257332064754,0.207520279892516,0.0117909448037992,573,35,6
"state_expanded__nonzero_mean_hindi_urdu",36,"state_expanded","State FE + expanded controls","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","state","ling_distance_nonzero_mean","hindi_urdu_share",1,1.09030169419337,0.29688675511016,0.00251313793235755,573,35,6
"state_expanded__nonzero_mean_hindi_urdu_separate",37,"state_expanded","State FE + expanded controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","state","ling_distance_nonzero_mean","hindi_share;urdu_share",1,0.86782835366907,0.351987859201179,0.00195963165692806,573,35,6
"state_expanded__distance_shares_all",38,"state_expanded","State FE + expanded controls","distance_shares_all","Five distance shares; all-speaker denominator","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,4.0463910905323,0.0013019131900637,0.0316880051213842,573,35,6
"state_expanded__distance_shares_all_unmapped",39,"state_expanded","State FE + expanded controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,3.95780636394049,0.00156595192653626,0.0316869189640224,573,35,6
"state_expanded__distance_shares_mapped",40,"state_expanded","State FE + expanded controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","state","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,3.48557628145235,0.00415065091594681,0.0453402127442236,573,35,6
